TT,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Phương án E,Đ.án đúng,Số văn bản tham chiếu (kèm trích yếu văn bản),Điều khoản tham chiếu cụ thể
30,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, Hệ số giá trị TSBĐ được xác định căn cứ vào các yếu tố nào của tài sản là chưa đầy đủ","Tính chất pháp lý; khả năng thanh khoản; tính chất, mức độ biến động giá trị; mức độ kiểm soát của BIDV đối với tài sản và các yếu tố có liên quan khác làm cơ sở xác định giá trị mà BIDV chấp nhận đối với tài sản đó","Tính chất pháp lý; khả năng thanh khoản; tính chất, mức độ biến động giá trị.",Tính chất pháp lý; khả năng thanh khoản; mức độ kiểm soát của BIDV đối với tài sản và các yếu tố có liên quan khác làm cơ sở xác định giá trị mà BIDV chấp nhận đối với tài sản đó,"Tính chất pháp lý; khả năng thanh khoản; tính chất, mức độ biến động giá trị; mức độ kiểm soát của BIDV đối với tài sản và các yếu tố có liên quan khác làm cơ sở xác định giá trị mà BIDV/Thị trường chấp nhận đối với tài sản đó",,A,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,Điều 27
31,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, phạm vi nghĩa vụ được bảo đảm là giới hạn về giá trị nghĩa vụ (toàn bộ hoặc một phần) và bao gồm các loại nghĩa vụ nào của khách hàng","Nghĩa vụ hiện tại, nghĩa vụ trong tương lai hoặc nghĩa vụ có điều kiện","Nghĩa vụ trả gốc, trả lãi, tiền phạt và bồi thường thiệt hại",Nghĩa vụ với khoản vay hiện tại,,,A,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,Điều 28
32,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, các loại Hợp đồng bảo đảm bao gồm","- Hợp đồng cầm cố tài sản.
- Hợp đồng thế chấp tài sản.
- Hợp đồng ký quỹ. 
- Hợp đồng bảo lãnh.","- Hợp đồng cầm cố tài sản.
- Hợp đồng thế chấp tài sản.
- Hợp đồng bảo lãnh.","- Hợp đồng cầm cố tài sản.
- Hợp đồng thế chấp tài sản.
- Hợp đồng ký quỹ. ","- Hợp đồng cầm cố tài sản.
- Hợp đồng thế chấp tài sản.",,C,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,Điều 32
33,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, thành phần của bên bảo đảm thực hiện ký kết Hợp đồng bảo đảm đối với TSBĐ thuộc quyền sở hữu của nhiều cá nhân gồm những ai",HĐBĐ chỉ cần một người đại diện ký kết,HĐBĐ phải được tất cả những người sở hữu chung ký tên hoặc những người sở hữu chung có văn bản ủy quyền cho một/một số người trong số những người sở hữu chung hoặc một người khác đại diện ký kết.,HĐBĐ phải được tất cả những người sở hữu chung và vợ chồng của người sở hữu ký tên hoặc những người sở hữu chung có văn bản ủy quyền cho một/một số người trong số những người sở hữu chung hoặc một người khác đại diện ký kết.,,,B,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,"Điều 33, điểm 2"
34,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, những HĐBĐ, văn bản bảo đảm không phải công chứng/chứng thực","HĐBĐ bằng bất động sản gồm: Quyền sử dụng đất; Nhà ở; Tài sản gắn liền với đất (công trình xây dựng khác, vườn cây lâu năm, rừng sản xuất là rừng trồng...)",HĐBĐ mà Bên bảo đảm là cá nhân trên 65 tuổi,"HĐBĐ mà TSBĐ là phương tiện giao thông cơ giới đường bộ, phương tiện thủy nội địa, phương tiện giao thông đường sắt, xe chuyên dùng, tàu bay, tàu biển, các tài sản khác mà BIDV không giữ bản gốc giấy chứng nhận đăng ký, chứng minh quyền sở hữu","A,C",Không có phương án nào đúng,E,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,"Điều 34, điểm 1"
35,"Theo Quy định số 9456/QyĐ-BIDV ngày 27/12/2024, tài sản nào có tính đặc biệt chuyên dụng, khó xử lý, tính thanh khoản thấp trên thị trường","Bảo lãnh của cá nhân/doanh nghiệp (không phải TCTD, cơ quan nhà nước có thẩm quyền)",Quyền sử dụng đất sử dụng vào mục đích công cộng không nhằm mục đích kinh doanh,"Quyền sử dụng đất của tổ chức được Nhà nước giao đất không thu tiền sử dụng đất, trừ đất nông nghiệp được giao trong hạn mức","Quyền sử dụng đất mà người sử dụng đất được chậm thực hiện nghĩa vụ tài chính hoặc được ghi nợ nghĩa vụ tài chính mà chưa thực hiện xong nghĩa vụ tài chính được chậm, được ghi nợ đó",,A,Quy định số 9456/QyĐ-BIDV ngày 27/12/2024 Về bảo đảm thực hiện nghĩa vụ trong hoạt động cấp tín dụng,"Điều 34, Phụ lục I/GDBĐ, mục B"
36,"Theo quy định tại văn bản số 18/BIDV-TTĐGTS ngày 02/01/2025, phạm vi áp dụng của văn bản là","Áp dụng cho toàn bộ các Chi nhánh tại Hà Nội và TP.HCM có phát sinh tài sản định giá mới là bất động sản mà các bất động sản đó có vị trí trên địa bàn TP Hà Nội và TP Hồ Chí Minh, phù hợp với phạm vi triển khai hoạt động định giá tại TTĐGTS trong từng thời kỳ.","Áp dụng cho toàn bộ các Chi nhánh có phát sinh tài sản định giá mới/định giá lại là bất động sản mà các bất động sản đó có vị trí trên địa bàn TP Hà Nội và TP Hồ Chí Minh, phù hợp với phạm vi triển khai hoạt động định giá tại TTĐGTS trong từng thời kỳ.","Áp dụng cho toàn bộ các Chi nhánh có phát sinh tài sản định giá mới là bất động sản mà các bất động sản đó có vị trí trên địa bàn TP Hà Nội và TP Hồ Chí Minh, phù hợp với phạm vi triển khai hoạt động định giá tại TTĐGTS trong từng thời kỳ.","Áp dụng cho toàn bộ các Chi nhánh đang trong giai đoạn thí điểm có phát sinh tài sản định giá mới là bất động sản mà các bất động sản đó có vị trí trên địa bàn TP Hà Nội và TP Hồ Chí Minh, phù hợp với phạm vi triển khai hoạt động định giá tại TTĐGTS trong từng thời kỳ.",,C,Công văn số 18/BIDV-TTĐGTS ngày 02/01/2025 về hướng dẫn xác định trình tự thực hiện định giá mới đối với các tài sản mới là bất động sản trên địa bàn TP.Hà Nội và TP.Hồ Chí Minh,Mục 1
37,"Theo quy định tại văn bản số 18/BIDV-TTĐGTS ngày 02/01/2025, nguyên tắc xác định vị trí đất ở nào là đúng","Đối với thửa đất của một chủ sử dụng tại các vị trí 2, vị trí 3 và vị trí 4 có ngõ nối thông với nhiều đường (phố) thì giá đất tính theo vị trí của đường (phố) (cao) nhất, trường hợp vị trí theo đường (phố) tương đương xác định theo đường (phố) gần nhất, có lợi thế nhất.",Đối với thửa đất của một chủ sử dụng tại có từ 2 cạnh (mặt) tiếp giáp với đường (phố) có tên trong Bảng giá đất (vị trí 1) trở lên thì giá đất tính theo vị trí của đường (phố) có giá đất thấp nhất.,"Đối với thửa đất của một chủ sử dụng tại các vị trí 1, vị trí 2, vị trí 3 và vị trí 4 có ngõ nối thông với nhiều đường (phố) thì giá đất tính theo vị trí của đường (phố) (cao) nhất, trường hợp vị trí theo đường (phố) tương đương xác định theo đường (phố) gần nhất, có lợi thế nhất.","Đối với thửa đất của một chủ sử dụng tại các vị trí 2, vị trí 3 và vị trí 4 có ngõ nối thông với nhiều đường (phố) thì giá đất tính theo vị trí của đường (phố) (cao) nhất, trường hợp vị trí theo đường (phố) tương đương xác định theo đường (phố) xa nhất, có lợi thế nhất.",,A,Công văn số 18/BIDV-TTĐGTS ngày 02/01/2025 về hướng dẫn xác định trình tự thực hiện định giá mới đối với các tài sản mới là bất động sản trên địa bàn TP.Hà Nội và TP.Hồ Chí Minh,Mục 2
38,"Theo quy định tại văn bản số 18/BIDV-TTĐGTS ngày 02/01/2025, tại TP.HCM vị trí 3 được xác định như thế nào?",Thửa đất giáp ngõ có mặt cắt dưới 3 m,Thửa đất giáp ngõ có mặt cắt từ 3 m đến dưới 5 m,Thửa đất giáp ngõ có mặt cắt dưới 2 m,"Thửa đất giáp ngõ có mặt cắt từ 5 m trở lên, tính từ chỉ giới hè đường đến thửa đất tiếp giáp",,B,Công văn số 18/BIDV-TTĐGTS ngày 02/01/2025 về hướng dẫn xác định trình tự thực hiện định giá mới đối với các tài sản mới là bất động sản trên địa bàn TP.Hà Nội và TP.Hồ Chí Minh,Mục 2
39,"Tài sản cần định giá nằm ở địa chỉ số 54 Ngõ 181, đường Trường Chinh, quận Thanh Xuân, TP Hà Nội được xác định là vị trí 2 của đường Trường Chinh (khoảng cách đến đường Trường Chinh là 400 m), đồng thời cũng nằm tại vị trí 2 của đường Nguyễn Viêt Xuân (khoảng cách từ tài sản đến đường Nguyễn Viết Xuân là 50 m), Như vậy, theo quy định tại văn bản số 18/BIDV-TTĐGTS ngày 02/01/2025 hãy xác định vị trí của tài sản trên",Vị trí 2 đường Nguyễn Viết Xuân,Vị trí 2 đường Trường Chinh,Vị trí 3 đường Trường Chinh,Vị trí 3 đường Nguyễn Viết Xuân,,A,Công văn số 18/BIDV-TTĐGTS ngày 02/01/2025 về hướng dẫn xác định trình tự thực hiện định giá mới đối với các tài sản mới là bất động sản trên địa bàn TP.Hà Nội và TP.Hồ Chí Minh,Mục 2
40,"Tài sản cần định giá nằm ở địa chỉ số 108/67B1, đường Lý Tự Trọng, Quận 1, TP Hồ Chí Minh được xác định là vị trí 3 của đường Lý Tự Trọng, đồng thời cũng nằm tại vị trí 2 của đường Thái Văn Lung. Như vậy, theo quy định tại văn bản số 18/BIDV-TTĐGTS ngày 02/01/2025 hãy xác định vị trí của tài sản trên",Vị trí 3 của đường Lý Tự Trọng,Vị trí 2 của đường Thái Văn Lung,Vị trí 2 của đường Lý Tự Trọng,Vị trí 3 của đường Thái Văn Lung,,B,Công văn số 18/BIDV-TTĐGTS ngày 02/01/2025 về hướng dẫn xác định trình tự thực hiện định giá mới đối với các tài sản mới là bất động sản trên địa bàn TP.Hà Nội và TP.Hồ Chí Minh,Mục 2
41,"Chi nhánh A có khách hàng phát sinh nhu cầu thế chấp tài sản tại Số 20 Phố Nghĩa Dũng, Quận Ba Đình, TP Hà Nội (vị trí 1) với diện tích 62,8 m2 là đất ở đô thị. Theo Bảng giá đất BIDV thì giá đất vị trí 1 tại phố Nghĩa Dũng là 159 triệu đồng/m2. Như vậy, theo quy định tại văn bản số 18/BIDV-TTĐGTS ngày 02/01/2025 với giá ước tính tài sản trên thì thẩm quyền thực hiện định giá là đơn vị nào?",Trung tâm Định giá tài sản,Chi nhánh,Tổ định giá tài sản tại Trụ sở chính,Không có đáp án nào đúng,,B,Công văn số 18/BIDV-TTĐGTS ngày 02/01/2025 về hướng dẫn xác định trình tự thực hiện định giá mới đối với các tài sản mới là bất động sản trên địa bàn TP.Hà Nội và TP.Hồ Chí Minh,Mục 2
42,"- Tài sản cần định giá nằm ở địa chỉ số 17 Ngõ 167, đường Giải Phóng, quận Hai Bà Trưng, TP Hà Nội với diện tích 60 m2. 
- Được biệt tài sản có thể tiếp cận từ đường Giải Phóng (cách 200 m), và đường Lê Thanh Nghị cách 50 m).
- Theo Bảng giá đất BIDV thì giá đất vị trí 2 của đường Giải Phóng là 156 triệu đồng/m2 và vị trí 2 của đường Lê Thanh Nghị là 197 triệu đồng/m2.
Như vậy, theo quy định tại văn bản số 18/BIDV-TTĐGTS ngày 02/01/2025 với giá ước tính tài sản trên thì thẩm quyền thực hiện định giá là đơn vị nào?",Trung tâm Định giá tài sản,Chi nhánh,Tổ định giá tài sản tại Trụ sở chính,Không có đáp án nào đúng,,A,Công văn số 18/BIDV-TTĐGTS ngày 02/01/2025 về hướng dẫn xác định trình tự thực hiện định giá mới đối với các tài sản mới là bất động sản trên địa bàn TP.Hà Nội và TP.Hồ Chí Minh,Mục 2
43,"- Tài sản cần định giá nằm ở địa chỉ số 10 Hẻm 51 Đường Phú Mỹ, Quận Bình Thạnh, TP.HCM với độ rộng mặt cắt lòng đường trước tài sản là 3,5 m và độ rộng vỉa hè là 1 m/bên, diện tích đất là 80,5 m2. 
- Theo Bảng giá đất BIDV thì giá đất tại Đường Phú Mỹ, Quận Bình Thạnh như sau:
+ Vị trí 1: 245 triệu đồng/m2
+ Vị trí 2: 123 triệu đồng/m2
+ Vị trí 3: 98 triệu đồng/m2
+ Vị trí 4: 79 triệu đồng/m2
Như vậy, theo quy định tại văn bản số 18/BIDV-TTĐGTS ngày 02/01/2025 với giá ước tính tài sản trên thì thẩm quyền thực hiện định giá là đơn vị nào?",Trung tâm Định giá tài sản,Chi nhánh,Tổ định giá tài sản tại Trụ sở chính,Không có đáp án nào đúng,,B,Công văn số 18/BIDV-TTĐGTS ngày 02/01/2025 về hướng dẫn xác định trình tự thực hiện định giá mới đối với các tài sản mới là bất động sản trên địa bàn TP.Hà Nội và TP.Hồ Chí Minh,Mục 2
44,"Chi nhánh B có khách hàng phát sinh nhu cầu thế chấp tài sản tại đường liên xã đoạn qua xã Trường Yên, huyện Chương Mỹ, Tp Hà Nội (vị trí 1) với diện tích 6.000 m2 là đất trồng cây hàng năm. Theo Bảng giá đất BIDV thì giá đất ở vị trí 1 tại đường đoạn qua xã Trường Yên là 34 triệu đồng/m2, đồng thời theo bảng giá đất do UBND TP Hà Nội ban hành thì đất trồng cây hàng năm của tại huyện Chương Mỹ là 0,182 triệu đồng/m2, giá đất ở Vị trí 1 của tại đường liên xã đoạn qua xã Trường Yên là 12 triệu đồng/m2.  Như vậy, theo quy định tại văn bản số 18/BIDV-TTĐGTS ngày 02/01/2025 với giá ước tính tài sản trên thì thẩm quyền thực hiện định giá là đơn vị nào?",Trung tâm Định giá tài sản,Chi nhánh,Tổ định giá tài sản tại Trụ sở chính,Không có đáp án nào đúng,,B,Công văn số 18/BIDV-TTĐGTS ngày 02/01/2025 về hướng dẫn xác định trình tự thực hiện định giá mới đối với các tài sản mới là bất động sản trên địa bàn TP.Hà Nội và TP.Hồ Chí Minh,Mục 2
45,"Chi nhánh D có khách hàng phát sinh nhu cầu thế chấp tài sản tại đường Tân Hiệp 4, huyện Hóc Môn, TP Hồ Chí Minh (vị trí 1) với diện tích 300 m2 là đất ở và 4.000 m2 là đất trồng cây hàng năm. Theo Bảng giá đất BIDV thì giá đất ở vị trí 1 tại đường Tân Hiệp 4 là 22 triệu đồng/m2, đồng thời theo bảng giá đất do UBND TP Hồ Chí Minh ban hành thì đất trồng cây hàng năm của tại huyện Hóc Môn là 0,75 triệu đồng/m2, giá đất ở Vị trí 1 của tại đường Tân Hiệp 4 là 12,2 triệu đồng/m2. Như vậy, theo quy định tại văn bản số 18/BIDV-TTĐGTS ngày 02/01/2025 với giá ước tính tài sản trên thì thẩm quyền thực hiện định giá là đơn vị nào?",Trung tâm Định giá tài sản,Chi nhánh,Tổ định giá tài sản tại Trụ sở chính,Không có đáp án nào đúng,,A,Công văn số 18/BIDV-TTĐGTS ngày 02/01/2025 về hướng dẫn xác định trình tự thực hiện định giá mới đối với các tài sản mới là bất động sản trên địa bàn TP.Hà Nội và TP.Hồ Chí Minh,Mục 2
46,Các đối tượng thuộc diện được bố trí nhà ở xã hội để phục vụ tái định cư,"1. Tổ chức, hộ gia đình, cá nhân có nhà ở hợp pháp thuộc diện bị giải tỏa vì mục đích quốc phòng, an ninh, phát triển kinh tế - xã hội vì lợi ích quốc gia, lợi ích công cộng
2. Hộ gia đình, cá nhân bị thu hồi đất ở gắn với nhà ở và phải di chuyển chỗ ở nhưng không đủ điều kiện được bồi thường về đất ở và không có chỗ ở nào khác
3. Tổ chức, hộ gia đình, cá nhân là chủ sở hữu nhà chung cư thuộc diện phải phá dỡ để cải tạo, xây dựng lại","1. Tổ chức, hộ gia đình, cá nhân có nhà ở hợp pháp thuộc diện bị giải tỏa vì mục đích quốc phòng, an ninh, phát triển kinh tế - xã hội vì lợi ích quốc gia, lợi ích công cộng
2. Hộ gia đình, cá nhân bị thu hồi đất ở gắn với nhà ở và phải di chuyển chỗ ở nhưng không đủ điều kiện được bồi thường về đất ở và không có chỗ ở nào khác
3. Tổ chức, hộ gia đình, cá nhân là chủ sở hữu nhà chung cư thuộc diện phải phá dỡ để cải tạo, xây dựng lại
4. Hộ gia đình, cá nhân là người đang thuê nhà ở thuộc tài sản công thuộc diện bị Nhà nước thu hồi theo quy định, trừ trường hợp bị thu hồi do chiếm dụng nhà ở","1. Tổ chức, hộ gia đình, cá nhân có nhà ở hợp pháp thuộc diện bị giải tỏa vì mục đích quốc phòng, an ninh, phát triển kinh tế - xã hội vì lợi ích quốc gia, lợi ích công cộng
2. Hộ gia đình, cá nhân bị thu hồi đất ở gắn với nhà ở và phải di chuyển chỗ ở nhưng không đủ điều kiện được bồi thường về đất ở và không có chỗ ở nào khác","1. Tổ chức, hộ gia đình, cá nhân có nhà ở hợp pháp thuộc diện bị giải tỏa vì mục đích quốc phòng, an ninh, phát triển kinh tế - xã hội vì lợi ích quốc gia, lợi ích công cộng
2. Hộ gia đình, cá nhân bị thu hồi đất ở gắn với nhà ở và phải di chuyển chỗ ở nhưng không đủ điều kiện được bồi thường về đất ở và không có chỗ ở nào khác
3. Tổ chức, hộ gia đình, cá nhân là chủ sở hữu nhà chung cư thuộc diện phải phá dỡ để cải tạo, xây dựng lại
4. Hộ gia đình, cá nhân là người đang thuê nhà ở thuộc tài sản công thuộc diện bị Nhà nước thu hồi theo quy định, trừ trường hợp bị thu hồi do chiếm dụng nhà ở
5. Cá nhân tổ chức nước ngoài đang sống và làm việc tại Việt Nam",,B,Nghị định 95/2024/NĐ-CP quy định chi tiết một số điều của Luật Nhà ở 2023,Khoản 1 Điều 35 Nghị định 95
47,"Chung cư được phân hạng thành bao nhiêu loại; Tiêu chí bắt buộc đối với phân hạng Chung cư, hãy kể tên các tiêu chí đó","1. Chung cư được phân thành 2 hạng ( Nhà chung cư hạng 1 và 2); 
2. Tiêu chí bắt buộc để phân hạng chung cư gồm 6 tiêu chí bắt buộc, cụ thể:
- Vị trí, địa điểm nhà chung cư
- Tiện ích trong khuôn viên nhà chung cư
- Chỗ để xe
- Hành lang, sảnh
- Thang máy
- Cấp điện","1. Chung cư được phân thành 4 hạng ( Nhà chung cư hạng 1,2,3 và 4); 
2. Tiêu chí bắt buộc để phân hạng chung cư gồm 3 tiêu chí bắt buộc, cụ thể:
- Vị trí, địa điểm nhà chung cư
- Tiện ích trong khuôn viên nhà chung cư
- Chỗ để xe","1. Chung cư được phân thành 3 hạng ( Nhà chung cư hạng 1, 2 và 3); 
2. Tiêu chí bắt buộc để phân hạng chung cư gồm 8 tiêu chí bắt buộc, cụ thể:
- Vị trí, địa điểm nhà chung cư
- Tiện ích trong khuôn viên nhà chung cư
- Chỗ để xe
- Hành lang, sảnh
- Thang máy
- Cấp điện
- Căn hộ
- Các tiêu chí đáp ứng về quy hoạch xây dựng, phòng cháy chữa cháy, điện, nước thải sinh hoạt…","1. Chung cư được phân thành 3 hạng ( Nhà chung cư hạng 1, 2 và 3); 
2. Tiêu chí bắt buộc để phân hạng chung cư gồm 8 tiêu chí bắt buộc và 05 tiêu chí bổ sung, cụ thể:
- Vị trí, địa điểm nhà chung cư
- Tiện ích trong khuôn viên nhà chung cư
- Chỗ để xe
- Hành lang, sảnh
- Thang máy
- Cấp điện
- Căn hộ
- Các tiêu chí đáp ứng về quy hoạch xây dựng, phòng cháy chữa cháy, điện, nước thải sinh hoạt…
05 tiêu chí bổ sung:
- Dịch vụ quản lý vận hành
- Môi trường
- An ninh, an toàn, phòng chống cháy nổ
- Công trình xanh, sử dụng năng lượng hiệu quả
- Số hóa và nhà ở thông minh",,D,Nghị định 95/2024/NĐ-CP quy định chi tiết một số điều của Luật Nhà ở 2023,Điều 83
48,Điều kiện xây dựng chung cư mini có từ 20 căn hộ trở lên,"1. Đáp ứng yêu cầu về xây dựng nhà ở nhiều tầng nhiều căn hộ của cá nhân theo Bộ Xây dựng.
2. Đáp ứng yêu cầu về phòng cháy, chữa cháy với nhà ở nhiều tầng nhiều căn hộ của cá nhân.
3. Đáp ứng điều kiện của Ủy ban nhân dân cấp tỉnh về đường giao thông để phương tiện chữa cháy có thể chữa cháy khi có hỏa hoạn","Việc xây dựng phải đảm bảo yêu cầu về thiết kế, thẩm tra thiết kế xây dựng, cấp Giấy phép xây dựng, quản lý, giám sát thi công và yêu cầu về phòng cháy, chữa cháy theo quy định","1. Đáp ứng yêu cầu về xây dựng nhà ở nhiều tầng nhiều căn hộ của cá nhân theo Bộ Xây dựng.
2. Đáp ứng điều kiện của Ủy ban nhân dân cấp tỉnh về đường giao thông để phương tiện chữa cháy có thể chữa cháy khi có hỏa hoạn",,,A,Nghị định 95/2024/NĐ-CP quy định chi tiết một số điều của Luật Nhà ở 2023,Điều 41
49,Điều kiện xây dựng chung cư mini có từ dưới 20 căn hộ,"1. Đáp ứng yêu cầu về xây dựng nhà ở nhiều tầng nhiều căn hộ của cá nhân theo Bộ Xây dựng.
2. Đáp ứng yêu cầu về phòng cháy, chữa cháy với nhà ở nhiều tầng nhiều căn hộ của cá nhân.
3. Đáp ứng điều kiện của Ủy ban nhân dân cấp tỉnh về đường giao thông để phương tiện chữa cháy có thể chữa cháy khi có hỏa hoạn","Việc xây dựng phải đảm bảo yêu cầu về thiết kế, thẩm tra thiết kế xây dựng, cấp Giấy phép xây dựng, quản lý, giám sát thi công và yêu cầu về phòng cháy, chữa cháy theo quy định","1. Đáp ứng yêu cầu về xây dựng nhà ở nhiều tầng nhiều căn hộ của cá nhân theo Bộ Xây dựng.
2. Đáp ứng điều kiện của Ủy ban nhân dân cấp tỉnh về đường giao thông để phương tiện chữa cháy có thể chữa cháy khi có hỏa hoạn",,,B,Nghị định 95/2024/NĐ-CP quy định chi tiết một số điều của Luật Nhà ở 2023,Điều 41
50,Nhà nhiều hộ nhiều tầng được hiểu như thế nào,"Là nhà ở có từ 02 tầng trở lên được thiết kế, xây dựng với mục đích để bán, cho thuê hoặc kết hợp bán, cho thuê mua, cho thuê hoặc chỉ để cho thuê đối với từng căn hộ","Là nhà ở có từ 03 tầng trở lên được thiết kế, xây dựng với mục đích để bán, cho thuê hoặc kết hợp bán, cho thuê mua, cho thuê hoặc chỉ để cho thuê đối với từng căn hộ","Là nhà ở có từ 4 tầng trở lên được thiết kế, xây dựng với mục đích để bán",Là nhà ở có từ 3 tầng trở lên được thiết kế với mục đích cho thuê,Là nhà ở có từ 5 tầng trở lên,A,Nghị định 95/2024/NĐ-CP quy định chi tiết một số điều của Luật Nhà ở 2023,Điều 41
51,Thời hạn sở hữu Chung cư được quy định cụ thể như nào,Thời hạn sử dụng nhà chung cư được tính từ khi nghiệm thu nhà chung cư đưa vào sử dụng theo quy định của pháp luật về xây dựng,Thời hạn sử dụng nhà chung cư được tính từ khi nghiệm thu nhà chung cư đưa vào sử dụng theo quy định của pháp luật về xây dựng,Không quy định,50 năm,,C,Luật Nhà ở 2023,Điều 58
52,"Trong thời hạn 05 năm, bên mua, thuê mua chỉ được bán NƠXH lại cho những đối tượng nào","Chủ đầu tư dự án nhà ở xã hội.
",Đối tượng thuộc trường hợp đủ điều kiện mua nhà ở xã hội.,A và B,,,C,Luật Nhà ở số 27/2023/QH15,Điểm d khoản 1 Điều 89
53,Lợi nhuận của nhà đầu tư NƠXH được quy định như nào?,"Giá bán nhà ở xã hội do chủ đầu tư dự án xác định trên cơ sở tính đủ các chi phí để thu hồi vốn đầu tư xây dựng nhà ở, lãi vay (nếu có) và lợi nhuận định mức của toàn bộ dự án không vượt quá 10% tổng chi phí đầu tư","Chủ đầu tư được hưởng lợi nhuận định mức tối đa 10% tổng chi phí đầu tư xây dựng đối với phần diện tích xây dựng nhà ở xã hội và
2. được dành tỷ lệ tối đa 20% tổng diện tích đất ở trong phạm vi dự án đã đầu tư xây dựng hệ thống hạ tầng kỹ thuật để đầu tư xây dựng công trình kinh doanh dịch vụ, thương mại, nhà ở thương mại","Chủ đầu tư được hưởng lợi nhuận định mức tối đa 10% tổng chi phí đầu tư xây dựng đối với phần diện tích xây dựng nhà ở xã hội và
2. Không được dành tỷ lệ tối đa 20% tổng diện tích đất ở trong phạm vi dự án đã đầu tư xây dựng hệ thống hạ tầng kỹ thuật để đầu tư xây dựng công trình kinh doanh dịch vụ, thương mại, nhà ở thương mại",,,B,Luật Nhà ở 2023,Điều 85
54,Phương pháp xác định giá trị còn lại của nhà ở theo Nghị định 95 bao gồm mấy phương pháp?,"1. Phương pháp phân tích kinh tế - kỹ thuật: Tỷ lệ chất lượng còn lại của nhà ở được xác định căn cứ vào tỷ lệ chất lượng còn lại của các kết cấu chính (móng, khung, cột, tường, nền, sàn, kết cấu đỡ mái và mái) tạo nên nhà ở đó và tỷ lệ giá trị của các kết cấu chính đó so với tổng giá trị của ngôi nhà tế - kỹ thuật","1. Phương pháp thống kê - kinh nghiệm: Tỷ lệ chất lượng còn lại của nhà ở cũ được xác định căn cứ vào thực trạng của nhà, niên hạn sử dụng và thời gian đã sử dụng của nhà ở đó",A và B,1. Phương pháp phân tích kinh tế- kỹ thuật: tỷ lệ chất lượng còn lại của nhà ở được xác định căn cứ vào tỷ lệ chất lượng còn lại của tất cả các kết cấu,1. Phương pháp thống kê- kinh nghiệm: tỷ lệ chất lượng còn lại của nhà ở cũ được xác định căn cứ vào niên hạn sử dụng của nhà ở đó,C,Nghị định 95/2024/NĐ-CP quy định chi tiết một số điều của Luật Nhà ở 2023,
55,Thông tin thu thập đầu vào tính tới thời điểm thẩm định giá là bao lâu,Không quá 12 tháng,Không quá 06 tháng,Không quá 24 tháng,Không quá 36 tháng,,C,Nghị định 71/2024/NĐ-CP,Điều 19
56,"Theo nghị định 71/ 2024, Khu đất cần định giá được hiểu là gì","Là tập hợp các thửa đất trong cùng một khu vực, dự án có sử dụng đất cần định giá",Là thửa đất cần định giá,Là tập hợp các thửa đất trong cùng cần định giá,Khác,,A,Nghị định 71/2024/NĐ-CP,Điều 3
57,"Theo Phương pháp so sánh trong Nghị định 71/2024, Trường hợp có yếu tố ảnh hưởng đến giá đất của thửa đất so sánh theo hướng làm tăng giá đất so với thửa đất cần định giá thì điều chỉnh như thế nào",Điều chỉnh tăng mức giá đất của thửa đất so sánh (cộng) theo yếu tố đó,Điều chỉnh giảm mức giá đất của thửa đất so sánh (trừ) theo yếu tố đó,,,,B,Nghị định 71/2024/NĐ-CP,Điều 3
